Year,Game,Screenshot,Palette
2025,Monster Bash,screenshots\sc960q.jpg,"[(178, 124, 96), (21, 138, 22), (16, 14, 11), (66, 203, 73), (109, 80, 62), (47, 102, 45), (77, 80, 81), (211, 216, 201), (114, 119, 162)]"
2025,Monster Bash,screenshots\sc960r.jpg,"[(194, 183, 180), (91, 83, 81), (98, 170, 154), (7, 7, 7), (173, 27, 43), (64, 72, 70), (52, 46, 46), (67, 42, 159), (40, 29, 80)]"
2025,Monster Bash,screenshots\sc960s.jpg,"[(67, 66, 84), (86, 85, 229), (211, 149, 148), (91, 90, 151), (25, 10, 17), (143, 43, 41), (127, 201, 201), (145, 110, 196), (78, 125, 121)]"
2025,Subnautica,screenshots\b0wy5anlht2k2mewjcya.jpg,"[(21, 122, 163), (215, 157, 209), (108, 38, 38), (36, 138, 189), (29, 37, 41), (104, 187, 214), (91, 80, 101), (168, 40, 45), (104, 116, 107)]"
2025,Subnautica,screenshots\sc68wd.jpg,"[(16, 73, 108), (63, 219, 206), (21, 26, 26), (77, 139, 153), (94, 139, 200), (88, 87, 104), (153, 176, 171), (37, 106, 162), (30, 26, 56)]"
2025,Subnautica,screenshots\sc68w4.jpg,"[(197, 144, 120), (43, 52, 50), (19, 110, 147), (96, 144, 142), (116, 87, 74), (72, 153, 187), (92, 207, 204), (56, 107, 105), (173, 53, 43)]"
2025,Subnautica,screenshots\sc68w6.jpg,"[(20, 122, 163), (215, 155, 210), (108, 38, 38), (36, 138, 189), (29, 37, 41), (106, 187, 212), (92, 80, 101), (167, 41, 45), (105, 116, 108)]"
2025,Subnautica,screenshots\sc68w5.jpg,"[(48, 36, 33), (13, 128, 173), (200, 224, 203), (100, 137, 160), (80, 85, 95), (162, 75, 68), (118, 195, 216), (50, 55, 83), (49, 167, 220)]"
2025,Stasis,screenshots\sjynpjbszzhbevocj0ri.jpg,"[(10, 15, 14), (178, 187, 155), (117, 148, 116), (92, 108, 86), (60, 84, 69), (48, 58, 45), (157, 68, 76), (132, 132, 140), (52, 67, 76)]"
2025,Stasis,screenshots\liuqouzsd3hsixpwkmkr.jpg,"[(189, 210, 173), (109, 155, 107), (71, 100, 61), (6, 9, 7), (33, 54, 30), (80, 59, 31), (100, 124, 140), (154, 76, 93), (43, 62, 73)]"
2025,Stasis,screenshots\zcwjjpkcni00m4dv6jfj.jpg,"[(169, 194, 146), (6, 17, 8), (108, 151, 90), (64, 103, 49), (29, 61, 23), (81, 66, 29), (48, 73, 68), (101, 131, 133), (140, 92, 44)]"
2025,Stasis,screenshots\mfcmgyni88c08wmku1vw.jpg,"[(186, 169, 126), (6, 6, 8), (87, 82, 61), (44, 42, 35), (104, 150, 140), (54, 75, 68), (50, 52, 71), (106, 112, 140), (169, 70, 45)]"
2025,Stasis,screenshots\go00tcmcifbaoeur65lv.jpg,"[(183, 197, 196), (7, 11, 13), (102, 185, 201), (77, 97, 100), (37, 51, 53), (70, 125, 148), (41, 64, 78), (132, 124, 108), (68, 68, 64)]"
2025,Soma,screenshots\sc77qd.jpg,"[(23, 24, 27), (73, 108, 155), (52, 70, 93), (63, 87, 112), (57, 59, 65), (194, 214, 227), (110, 146, 191), (38, 53, 65), (85, 90, 103)]"
2025,Soma,screenshots\xlfhw5nokrdxjkqip8bx.jpg,"[(12, 18, 18), (171, 161, 138), (100, 105, 99), (39, 60, 58), (108, 160, 161), (50, 86, 83), (24, 43, 52), (48, 75, 84), (104, 132, 140)]"
2025,Soma,screenshots\sc5j8c.jpg,"[(22, 22, 22), (194, 190, 187), (60, 46, 46), (125, 150, 125), (38, 54, 61), (43, 66, 89), (96, 100, 95), (65, 88, 93), (98, 117, 154)]"
2025,Soma,screenshots\ymjl0reys3osxukaaef1.jpg,"[(14, 7, 8), (147, 66, 66), (105, 45, 47), (95, 156, 157), (36, 77, 81), (24, 55, 62), (60, 17, 20), (58, 115, 122), (20, 41, 46)]"
2025,Soma,screenshots\lwcp5uxzztypel1m5auz.jpg,"[(7, 7, 5), (194, 175, 141), (84, 66, 46), (45, 35, 22), (45, 71, 68), (111, 140, 133), (132, 84, 49), (35, 60, 68), (108, 124, 124)]"
2025,Hyperdevotion Noire: Goddess Black Heart,screenshots\rfpii31bzzgyo9u8uhn5.jpg,"[(116, 229, 246), (49, 76, 133), (233, 202, 226), (42, 45, 59), (154, 139, 198), (65, 111, 239), (242, 71, 142), (79, 157, 243), (243, 146, 65)]"
2025,Hyperdevotion Noire: Goddess Black Heart,screenshots\eotnvn3knhfxkosdxjei.jpg,"[(231, 237, 228), (157, 198, 205), (38, 41, 51), (105, 139, 192), (143, 141, 133), (96, 128, 137), (76, 89, 132), (90, 88, 90), (207, 107, 84)]"
2025,Hyperdevotion Noire: Goddess Black Heart,screenshots\fbp75dbzcbviflcagfan.jpg,"[(229, 214, 157), (115, 66, 45), (45, 43, 52), (227, 115, 57), (176, 144, 194), (190, 97, 47), (161, 145, 96), (132, 105, 114), (44, 167, 216)]"
2025,Hyperdevotion Noire: Goddess Black Heart,screenshots\ssinnopwdnrzugiccn9y.jpg,"[(218, 187, 128), (44, 63, 50), (103, 215, 159), (194, 60, 70), (83, 110, 201), (118, 74, 64), (109, 127, 102), (25, 14, 16), (67, 80, 119)]"
